Tara,RM_Adulti,RM_Barbati,RM_femei,RM_cancer,RM_cardio,RM_vatamari,RM5_boli_diareice,RM5_HIV,RM5_vatamari,RM5_malaria,RM5_pojar,RM5_neonatal,RM5_pneumonie,SV,Tuberculoza,Polio
Montenegro,140.0,98.0,180.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Serbia,159.0,106.0,210.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Kiribati,239.0,191.0,283.0,52.0,273.0,22.0,22.0,0.0,1.3,0.7,2.6,22.1,11.5,54.0,420.0,0.0
Syrian Arab Republic,162.0,130.0,194.0,60.0,410.0,49.0,9.6,0.0,3.4,0.2,0.0,42.7,9.9,62.0,49.0,0.0
Morocco,135.0,106.0,164.0,67.0,411.0,48.0,12.0,0.3,4.0,0.4,0.2,44.7,14.0,60.0,112.0,0.0
Cook Islands,149.0,116.0,179.0,69.0,326.0,38.0,0.7,0.0,0.2,0.0,0.5,96.1,1.1,62.0,18.0,0.0
Niue,176.0,83.0,255.0,74.0,339.0,39.0,0,0,0,0,0,0,0,60.0,48.0,0.0
Uzbekistan,202.0,151.0,252.0,74.0,663.0,50.0,15.0,0.0,7.0,0.8,0.1,38.1,16.8,59.0,93.0,0.0
Qatar,78.0,77.0,80.0,75.0,340.0,40.0,8.4,0.1,5.2,0.0,0.0,29.6,7.7,65.0,66.0,0.0
Kuwait,78.0,62.0,87.0,78.0,309.0,34.0,0.7,0.0,7.9,0.0,0.0,35.5,4.4,67.0,28.0,0.0
Tunisia,147.0,119.0,176.0,78.0,417.0,72.0,7.0,0.0,9.7,0.2,0.0,52.7,7.6,62.0,25.0,0.0
Libyan Arab Jamahiriya,154.0,115.0,184.0,79.0,411.0,55.0,8.4,0.1,2.6,0.0,0.1,55.6,8.5,64.0,23.0,0.0
Mauritius,172.0,121.0,222.0,79.0,434.0,42.0,1.2,0.0,5.2,0.0,0.0,66.0,3.9,62.0,24.0,0.0
Egypt,200.0,162.0,237.0,84.0,560.0,35.0,13.0,0.0,2.1,0.4,0.1,44.3,14.6,59.0,31.0,5.0
Tonga,188.0,169.0,209.0,85.0,363.0,29.0,10.0,0.0,2.0,1.3,1.8,57.2,7.3,62.0,28.0,0.0
Fiji,240.0,183.0,292.0,86.0,470.0,40.0,11.0,0.2,2.9,0.0,0.0,41.2,9.2,59.0,28.0,0.0
Guyana,341.0,294.0,393.0,86.0,526.0,97.0,21.0,7.7,6.2,0.7,0.0,33.7,5.2,55.0,101.0,0.0
Mexico,136.0,99.0,172.0,88.0,163.0,58.0,5.1,0.1,7.0,0.0,0.0,52.5,8.5,65.0,32.0,0.0
Lebanon,174.0,142.0,208.0,90.0,453.0,98.0,1.0,0.0,11.0,0.0,0.0,64.9,1.1,60.0,18.0,0.0
Solomon Islands,179.0,151.0,205.0,90.0,409.0,37.0,8.8,0.3,2.5,0.1,0.5,49.5,9.5,56.0,181.0,0.0
Tajikistan,246.0,200.0,288.0,90.0,753.0,64.0,16.0,0.0,2.6,0.8,0.2,29.7,19.9,55.0,117.0,0.0
Georgia,151.0,89.0,217.0,91.0,584.0,25.0,12.0,0.0,1.2,0.3,0.1,52.1,12.5,64.0,82.0,1.0
Philippines,223.0,160.0,281.0,91.0,336.0,58.0,12.0,0.0,2.7,0.4,1.2,36.9,13.4,59.0,305.0,3.0
Palau,218.0,182.0,252.0,92.0,396.0,39.0,9.7,0.3,2.5,0.0,0.7,47.0,12.4,60.0,58.0,0.0
Vanuatu,202.0,180.0,222.0,92.0,409.0,38.0,12.0,0.3,2.7,0.6,0.3,42.3,13.0,59.0,70.0,0.0
Guatemala,238.0,185.0,292.0,93.0,188.0,98.0,13.0,2.7,1.5,0.4,0.1,37.3,15.0,57.0,83.0,0.0
Micronesia (Federated States of),201.0,183.0,219.0,93.0,410.0,39.0,8.0,0.3,2.7,0.0,1.5,49.2,11.3,58.0,128.0,0.0
Cyprus,82.0,56.0,107.0,94.0,354.0,33.0,3.2,0.1,5.4,0.0,0.0,61.5,1.7,68.0,6.0,0.0
Samoa,220.0,203.0,235.0,95.0,417.0,40.0,9.7,0.3,2.9,0.1,0.1,49.2,10.2,60.0,23.0,0.0
Turkey,152.0,117.0,187.0,95.0,542.0,42.0,12.0,0.0,4.0,0.5,0.3,49.1,14.0,62.0,31.0,0.0
Turkmenistan,277.0,207.0,346.0,99.0,844.0,74.0,16.0,0.0,4.8,0.9,0.1,37.8,18.8,54.0,92.0,0.0
United Arab Emirates,95.0,77.0,101.0,100.0,369.0,72.0,6.3,0.1,15.0,0.0,0.0,55.7,4.7,64.0,18.0,0.0
Democratic People's Republic of Korea,200.0,166.0,232.0,102.0,371.0,65.0,19.0,0.7,3.0,0.7,0.8,41.8,15.2,59.0,178.0,0.0
El Salvador,209.0,144.0,275.0,102.0,223.0,101.0,12.0,1.7,3.7,0.5,0.0,39.9,13.4,60.0,65.0,0.0
Algeria,153.0,131.0,175.0,103.0,314.0,85.0,12.0,0.0,5.0,0.5,0.9,48.0,13.7,61.0,48.0,1.0
Oman,142.0,97.0,168.0,105.0,409.0,41.0,8.1,0.3,4.1,0.1,0.0,42.3,7.2,64.0,12.0,0.0
Kyrgyzstan,249.0,170.0,325.0,106.0,602.0,90.0,14.0,0.0,6.6,0.9,0.1,43.8,16.7,55.0,135.0,0.0
Pakistan,218.0,205.0,230.0,107.0,425.0,99.0,14.0,0.0,2.1,0.7,2.4,55.7,19.3,53.0,181.0,119.0
Venezuela,143.0,98.0,185.0,107.0,241.0,90.0,9.9,0.2,6.5,0.0,0.0,52.6,5.9,64.0,42.0,0.0
Panama,112.0,85.0,139.0,108.0,182.0,49.0,11.0,2.4,3.8,0.2,0.0,42.4,10.8,66.0,53.0,0.0
Saint Kitts and Nevis,182.0,150.0,214.0,108.0,420.0,45.0,14.0,0.0,7.9,0.0,0.0,2.8,0.0,62.0,12.0,0.0
Yemen,260.0,228.0,291.0,108.0,553.0,102.0,16.0,0.3,3.7,7.5,2.2,33.3,19.8,49.0,101.0,0.0
India,258.0,223.0,289.0,109.0,428.0,117.0,20.0,0.7,2.2,0.9,3.7,45.2,18.5,53.0,168.0,268.0
Saudi Arabia,179.0,139.0,208.0,109.0,405.0,72.0,6.2,0.1,14.5,0.2,0.0,40.2,6.6,61.0,47.0,0.0
Bangladesh,254.0,258.0,251.0,111.0,428.0,101.0,20.0,0.0,2.7,0.7,2.0,45.4,17.6,54.0,239.0,0.0
Bahamas,192.0,142.0,243.0,112.0,222.0,73.0,0.8,5.3,13.0,0.0,0.0,43.5,5.3,64.0,44.0,0.0
Bhutan,251.0,211.0,284.0,112.0,441.0,112.0,21.0,0.7,2.4,0.8,1.2,38.9,18.8,53.0,128.0,0.0
Haiti,306.0,255.0,358.0,112.0,402.0,38.0,17.0,8.3,0.4,0.7,0.5,26.4,20.2,44.0,354.0,7.0
Iraq,195.0,153.0,234.0,112.0,508.0,141.0,13.0,0.3,5.7,0.7,0.5,50.8,17.6,50.0,56.0,0.0
Sudan,293.0,257.0,328.0,112.0,499.0,163.0,13.0,2.9,4.6,21.2,5.4,31.4,15.5,49.0,213.0,1.0
Azerbaijan,207.0,154.0,262.0,113.0,613.0,29.0,15.0,0.0,1.3,1.0,0.1,44.1,18.4,57.0,75.0,0.0
Iran (Islamic Republic of),193.0,148.0,238.0,113.0,466.0,133.0,5.5,0.1,12.8,0.2,0.0,62.9,6.4,58.0,31.0,0.0
Brunei Darussalam,110.0,95.0,122.0,114.0,210.0,33.0,1.1,0.0,9.2,0.0,0.0,63.7,0.7,65.0,62.0,0.0
Finland,104.0,63.0,143.0,115.0,201.0,60.0,0.8,0.0,6.9,0.0,0.0,55.1,1.2,71.0,10.0,0.0
Myanmar,281.0,225.0,336.0,115.0,432.0,105.0,21.0,0.9,2.0,9.0,2.4,39.1,19.3,52.0,171.0,0.0
Djibouti,325.0,277.0,371.0,116.0,533.0,92.0,17.0,2.7,1.8,0.8,4.4,27.0,20.4,43.0,712.0,0.0
Republic of Moldova,230.0,155.0,310.0,116.0,619.0,97.0,2.0,0.0,13.3,0.0,0.0,46.1,15.5,60.0,138.0,0.0
Sweden,72.0,56.0,87.0,116.0,176.0,30.0,0.0,0.0,3.4,0.0,0.0,59.4,0.8,73.0,5.0,0.0
Switzerland,76.0,54.0,99.0,116.0,142.0,32.0,0.2,0.0,7.5,0.0,0.0,62.1,0.7,73.0,9.0,0.0
Colombia,174.0,106.0,241.0,117.0,240.0,141.0,10.0,1.4,4.6,0.2,0.0,62.1,10.4,62.0,51.0,0.0
Nepal,300.0,296.0,306.0,118.0,436.0,108.0,21.0,0.2,2.3,0.8,2.7,43.5,18.5,52.0,199.0,0.0
Papua New Guinea,286.0,253.0,315.0,118.0,442.0,104.0,15.0,0.3,2.3,0.8,2.1,35.4,18.5,52.0,250.0,0.0
Sri Lanka,217.0,117.0,308.0,118.0,314.0,82.0,14.0,0.0,5.4,0.4,1.7,59.5,8.5,62.0,60.0,0.0
Timor-Leste,256.0,211.0,300.0,118.0,441.0,112.0,22.0,0.7,1.9,0.4,3.5,32.3,19.6,50.0,556.0,0.0
Japan,73.0,48.0,98.0,119.0,106.0,39.0,0.4,0.0,11.6,0.0,0.2,40.0,3.9,75.0,34.0,0.0
Monaco,97.0,60.0,133.0,120.0,115.0,41.0,0,0,0,0,0,0,0,73.0,3.0,0.0
Nicaragua,166.0,130.0,200.0,120.0,305.0,73.0,12.0,0.5,3.0,0.4,0.0,42.4,13.7,61.0,81.0,0.0
Bosnia and Herzegovina,117.0,79.0,157.0,121.0,492.0,43.0,0.6,0.0,3.7,0.0,0.0,52.7,2.5,64.0,63.0,0.0
Trinidad and Tobago,205.0,157.0,253.0,121.0,379.0,50.0,1.3,4.7,3.1,0.0,0.0,46.3,2.0,62.0,10.0,0.0
Zambia,643.0,602.0,686.0,122.0,359.0,58.0,18.0,16.1,1.0,19.4,1.2,22.9,21.8,35.0,602.0,3.0
Zimbabwe,694.0,653.0,736.0,122.0,347.0,103.0,12.0,40.6,1.2,0.2,2.9,28.1,14.7,34.0,644.0,0.0
Maldives,172.0,161.0,182.0,123.0,484.0,70.0,20.0,0.7,2.5,0.6,0.1,45.1,17.5,58.0,69.0,0.0
Viet Nam,169.0,135.0,202.0,123.0,318.0,72.0,10.0,1.0,4.9,0.4,3.4,56.4,11.5,61.0,183.0,0.0
Botswana,570.0,551.0,593.0,124.0,338.0,72.0,1.1,53.8,3.3,0.0,0.1,40.3,1.4,36.0,600.0,0.0
Malta,72.0,54.0,90.0,124.0,214.0,24.0,0.0,0.0,6.0,0.0,0.0,66.7,0.0,71.0,7.0,0.0
Mozambique,418.0,384.0,454.0,124.0,371.0,66.0,17.0,12.9,1.0,18.9,0.3,29.0,21.2,37.0,383.0,0.0
Bulgaria,160.0,97.0,222.0,125.0,554.0,42.0,2.3,0.0,5.2,0.0,0.0,47.3,16.1,65.0,44.0,3.0
Costa Rica,107.0,79.0,133.0,125.0,185.0,55.0,3.0,0.2,3.9,0.0,0.0,58.7,4.0,67.0,17.0,0.0
Marshall Islands,327.0,298.0,354.0,125.0,526.0,62.0,14.0,0.3,3.1,0.0,0.5,37.1,13.5,55.0,248.0,0.0
Andorra,86.0,48.0,122.0,126.0,125.0,31.0,0,0,0,0,0,0,0,72.0,22.0,0.0
Australia,76.0,55.0,97.0,127.0,140.0,35.0,0.1,0.0,10.6,0.0,0.0,55.6,1.2,73.0,6.0,0.0
Austria,95.0,63.0,126.0,127.0,204.0,38.0,0.0,0.0,8.4,0.0,0.0,56.0,0.7,71.0,14.0,0.0
Bahrain,105.0,89.0,115.0,127.0,312.0,37.0,0.7,0.2,10.2,0.0,0.0,46.0,1.4,64.0,47.0,0.0
Cape Verde,213.0,163.0,284.0,127.0,356.0,39.0,12.0,3.7,3.5,4.3,4.4,25.9,13.3,61.0,166.0,0.0
Comoros,242.0,196.0,287.0,128.0,381.0,83.0,14.0,3.7,3.4,19.4,5.9,37.3,16.3,55.0,56.0,0.0
Singapore,77.0,56.0,97.0,128.0,171.0,23.0,0.4,0.0,7.1,0.0,0.0,40.0,9.0,70.0,37.0,0.0
Cuba,115.0,90.0,140.0,129.0,215.0,54.0,1.3,0.0,7.9,0.0,0.0,49.9,4.1,68.0,14.0,0.0
Ecuador,185.0,141.0,228.0,129.0,244.0,89.0,11.0,1.1,4.6,0.5,0.1,49.8,12.0,62.0,152.0,0.0
Saint Lucia,161.0,117.0,205.0,129.0,304.0,52.0,1.3,1.3,4.7,0.0,0.0,30.9,1.3,63.0,18.0,0.0
Thailand,215.0,155.0,273.0,129.0,199.0,74.0,16.0,6.2,4.8,0.3,0.1,44.9,11.5,60.0,142.0,0.0
Tuvalu,257.0,246.0,268.0,129.0,541.0,69.0,13.0,0.3,3.0,0.0,1.2,40.0,13.5,53.0,362.0,0.0
Dominican Republic,185.0,130.0,237.0,131.0,381.0,59.0,12.0,3.9,2.9,0.6,0.1,47.2,13.0,60.0,105.0,2.0
Seychelles,175.0,99.0,248.0,131.0,336.0,69.0,0.0,0.0,12.3,0.0,0.0,27.2,10.1,61.0,37.0,0.0
Spain,86.0,49.0,122.0,131.0,137.0,31.0,0.1,0.0,6.5,0.0,0.0,52.4,1.3,73.0,35.0,0.0
Greece,82.0,48.0,116.0,132.0,258.0,35.0,0.0,0.0,5.8,0.0,0.0,63.0,2.6,71.0,21.0,0.0
